fdc_id,food_name,food_group,calcium_mg,carbohydrate_g,cholesterol_mg,choline_mg,copper_mg,energy_kcal,saturated_fat_g,trans_fat_g,fiber_g,fluoride_mg,folate_mg,iron_mg,magnesium_mg,manganese_mg,vitamin_b3_niacin_mg,vitamin_b5_pantothenic_acid_mg,phosphorus_mg,potassium_mg,protein_g,vitamin_b2_riboflavin_mg,selenium_mg,sodium_mg,sugar_g,vitamin_b1_thiamin_mg,fat_g,vitamin_a_rae_mg,vitamin_b12_mg,vitamin_b6_mg,vitamin_c_mg,vitamin_d_mg,vitamin_e_mg,vitamin_k_mg,water_g,zinc_mg,consumption_label,cuisine_label,suitable_for_cvd_cholesterol,food_name_original,cuisine
167534,Iced Cream Puff Eclair,Baked Products,35.0,37.43,66.0,44.2,0.06,334.0,7.055,0.0,0.9,0.0,0.1,0.95,10.0,0.224,1.908,0.471,71.0,68.0,4.41,0.241,0.0155,265.0,22.05,0.263,18.52,0.023,0.00017,0.041,0.0,0.0003,0.95,0.0067,38.64,0.45,Snack,Generic,True,"Cream puff, eclair, custard or cream filled, iced",Western
167537,Plain Corn Chips,Snacks,138.0,57.27,0.0,12.1,0.101,539.0,4.331,0.088,4.0,0.0519,0.008,1.2,72.0,0.333,0.842,0.19,194.0,144.0,6.17,0.078,0.0076,514.0,0.27,0.047,33.36,0.003,0.0,0.167,0.0,0.0,7.23,0.0063,1.07,1.29,Snack,Generic,True,"Snacks, corn-based, extruded, chips, plain",Generic
167538,Barbecue Corn Chips,Snacks,131.0,56.2,0.0,0.0,0.166,523.0,4.46,0.0,5.2,0.0,0.039,1.54,77.0,0.774,1.645,0.143,207.0,236.0,7.0,0.21,0.0040999999999999,763.0,0.0,0.075,32.7,0.031,0.0,0.23,1.7,0.0,0.0,0.0,1.2,1.06,Snack,Generic,True,"Snacks, corn-based, extruded, chips, barbecue-flavor",Generic
167539,Plain Corn Cones,Snacks,3.0,62.9,0.0,0.0,0.04,510.0,22.75,0.0,1.1,0.0,0.003,2.54,11.0,0.087,1.41,0.225,44.0,81.0,5.8,0.24,0.0038,1022.0,0.0,0.32,26.9,0.016,0.0,0.04,0.0,0.0,0.0,0.0,2.0,0.21,Snack,Generic,True,"Snacks, corn-based, extruded, cones, plain",Generic
167540,Fruit Leather Snacks,Sweets,18.0,82.82,0.0,12.9,0.171,359.0,0.65,0.0,0.0,0.0,0.004,0.75,14.0,0.184,0.1,0.319,24.0,164.0,1.0,0.1,0.0027,199.0,57.58,0.043,2.68,0.003,0.0,0.3,56.0,0.0,0.56,0.0182,12.3,0.19,Snack,Generic,True,"Snacks, fruit leather, pieces",Generic
167541,Fruit Leather Snacks,Sweets,32.0,85.8,0.0,13.2,0.171,371.0,0.672,0.0,0.0,0.0,0.002,1.01,20.0,0.184,0.1,0.029,31.0,294.0,0.1,0.02,0.0004,317.0,49.16,0.084,3.0,0.006,0.0,0.3,120.0,0.0,0.56,0.0182,10.2,0.19,Snack,Generic,True,"Snacks, fruit leather, rolls",Generic
167542,Plain Granola Bars,Snacks,61.0,64.4,0.0,22.0,0.392,471.0,2.37,0.0,5.3,0.0,0.023,2.95,97.0,1.777,1.581,0.813,277.0,336.0,10.1,0.119,0.0162,294.0,28.57,0.264,19.8,0.002,0.0,0.085,0.9,0.0,2.09,0.0146,3.9,2.03,Snack,Generic,True,"Snacks, granola bars, hard, plain",Generic
167543,Almond Granola Bars,Snacks,32.0,62.0,0.0,0.0,0.127,495.0,12.51,0.0,4.8,0.0,0.012,2.5,81.0,1.365,0.61,0.466,228.0,273.0,7.7,0.07,0.015,256.0,0.0,0.28,25.5,0.002,0.0,0.047,0.0,0.0,0.0,0.0,3.1,1.58,Snack,Generic,True,"Snacks, granola bars, hard, almond",Generic
167544,Soft Raisin Granola Bars,Snacks,101.0,66.4,0.0,0.0,0.28,448.0,9.57,0.0,4.2,0.0,0.021,2.44,72.0,1.26,1.101,0.48,220.0,362.0,7.6,0.163,0.0157,282.0,0.0,0.231,17.8,0.0,0.0001799999999999,0.103,0.0,0.0,0.0,0.0,6.4,1.3,Snack,Generic,True,"Snacks, granola bars, soft, uncoated, raisin",Generic
167545,Chocolate Chip Granola Bars,Snacks,103.0,63.8,5.0,0.0,0.35,466.0,14.22,0.0,3.4,0.0,0.026,2.33,66.0,0.93,0.72,0.51,199.0,313.0,5.8,0.25,0.0,200.0,0.0,0.09,24.9,0.007,0.00057,0.1,0.0,0.0,0.0,0.0,3.6,1.3,Snack,Generic,True,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",Generic
167546,Honeycomb Peanut Butter Candies,Sweets,21.0,67.41,0.0,24.7,0.169,473.0,5.735,0.029,1.9,0.0,0.034,0.71,66.0,0.656,5.147,0.446,132.0,220.0,8.72,0.085,0.002,174.0,62.68,0.064,20.18,0.0,0.0,0.173,0.0,0.0,3.57,0.0001,2.54,1.03,Snack,Generic,True,"Candies, honey-combed, with peanut butter",Generic
167547,Chocolate-Coated Granola Bars,Snacks,108.0,53.4,12.0,24.7,0.323,508.0,17.01,0.0,2.8,0.0,0.025,1.45,67.0,1.35,3.29,0.53,227.0,339.0,10.2,0.21,0.0131,193.0,23.74,0.1,31.1,0.005,0.0,0.106,0.6,0.0,4.17,0.0132,3.2,1.47,Snack,Generic,True,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",Generic
167548,Peanut Butter Chocolate Chip Granola Bars,Snacks,80.0,62.2,1.0,0.0,0.4,432.0,5.59,0.0,4.2,0.0,0.033,1.94,88.0,1.35,3.15,0.53,262.0,377.0,9.8,0.12,0.0,328.0,0.0,0.12,20.0,0.002,0.00045,0.1,0.0,0.0,0.0,0.0,5.9,1.7,Snack,Generic,True,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",Generic
167549,Microwave Oil-Popped Popcorn,Snacks,4.0,45.06,0.0,12.6,0.162,583.0,6.82,0.0,8.1,0.0063,0.025,1.98,79.0,0.629,1.195,0.23,199.0,182.0,7.29,0.057,0.0022,909.0,0.46,0.134,43.55,0.008,0.0,0.109,0.3,0.0,2.43,0.0040999999999999,1.2,3.1,Snack,Generic,True,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",Generic
167550,Popcorn Cakes,Snacks,9.0,80.1,0.0,22.4,0.569,384.0,0.48,0.0,2.9,0.0,0.018,1.87,159.0,0.985,6.006,0.434,277.0,327.0,9.7,0.178,0.0099,288.0,0.72,0.075,3.1,0.004,0.0,0.181,0.0,0.0,0.29,0.0011,5.0,3.99,Snack,Generic,True,"Snacks, popcorn, cakes",Generic
167553,Reduced Fat Potato Chips,Snacks,29.0,64.76,0.0,0.0,0.153,502.0,6.759,0.139,3.2,0.0,0.027,1.11,45.0,0.361,3.595,0.83,129.0,760.0,4.56,0.015,0.0029,450.0,0.63,0.212,26.14,0.0,0.0,0.412,12.0,0.0,2.18,0.0072,2.22,0.7,Snack,Generic,True,"Snacks, potato chips, made from dried potatoes, reduced fat",Generic
167554,Sour Cream and Onion Potato Chips,Snacks,64.0,51.3,3.0,0.0,0.063,547.0,9.47,0.0,1.2,0.0,0.023,1.4,55.0,0.405,2.5,0.827,169.0,496.0,6.6,0.1,0.0,541.0,0.0,0.18,37.0,0.323,0.0,0.476,9.5,0.0,0.0,0.0,2.0,0.71,Snack,Generic,True,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",Generic
167555,Salted Pretzels,Snacks,27.0,80.39,0.0,29.5,0.156,384.0,0.391,0.004,3.4,0.0,0.166,4.58,29.0,1.015,5.27,0.322,128.0,223.0,10.04,0.332,0.0044,1240.0,2.21,0.424,2.93,0.0,0.0,0.074,2.1,0.0,0.47,0.0028,3.13,1.04,Snack,Generic,True,"Snacks, pretzels, hard, plain, salted",Generic
167557,Brown Rice Cakes with Sesame,Snacks,12.0,81.5,0.0,0.0,0.39,392.0,0.54,0.0,5.4,0.0,0.018,1.58,136.0,4.299,7.205,1.461,375.0,290.0,7.6,0.085,0.0241,227.0,0.0,0.048,3.8,0.0,0.0,0.155,3.0,0.0,0.0,0.0,5.9,3.0,Snack,Generic,True,"Snacks, rice cakes, brown rice, sesame seed",Generic
167558,Salted Tortilla Chips,Snacks,106.0,67.78,0.0,19.4,0.097,472.0,2.811,0.812,5.4,0.0519,0.012,1.52,84.0,0.388,0.838,0.297,225.0,182.0,7.1,0.07,0.0044,328.0,0.78,0.14,20.68,0.0,0.0003599999999999,0.179,0.0,0.0,3.53,0.0209,2.64,1.38,Snack,Generic,False,"Snacks, tortilla chips, plain, white corn, salted",Generic
167559,Nacho Cheese Tortilla Chips,Snacks,137.0,60.81,0.0,22.5,0.102,519.0,3.876,0.185,5.1,0.0,0.013,1.16,75.0,0.33,1.29,0.364,252.0,223.0,7.36,0.136,0.0074,691.0,2.59,0.153,27.42,0.006,0.0,0.22,0.4,0.0,6.24,0.0013,1.66,1.38,Snack,Generic,True,"Snacks, tortilla chips, nacho cheese",Generic
167560,Ranch Tortilla Chips,Snacks,134.0,62.74,0.0,18.4,0.101,501.0,3.539,0.345,4.0,0.0,0.0,1.38,87.0,0.365,1.3,0.6,252.0,259.0,7.19,0.06,0.0073,519.0,3.03,0.048,24.63,0.0,0.0,0.2,0.0,0.0,0.0,0.0014,3.14,1.43,Snack,Generic,True,"Snacks, tortilla chips, ranch-flavor",Generic
167561,Trail Mix,Snacks,78.0,44.9,0.0,0.0,0.985,462.0,5.55,0.0,0.0,0.0,0.071,3.05,158.0,1.034,4.712,0.895,345.0,685.0,13.8,0.198,0.0,229.0,0.0,0.462,29.4,0.001,0.0,0.298,1.4,0.0,0.0,0.0,9.2,3.22,Snack,Generic,True,"Snacks, trail mix, regular",Generic
167565,Butterfinger Bar,Sweets,36.0,72.9,0.0,15.0,0.193,459.0,9.5,0.04,2.0,0.0,0.028,0.79,48.0,0.49,2.649,0.37,97.0,220.0,5.4,0.062,0.0029,230.0,45.9,0.121,18.9,0.0,4e-05,0.069,0.0,0.0,1.72,0.0022,1.23,1.0,Snack,Generic,True,"Candies, NESTLE, BUTTERFINGER Bar",Generic
167567,Liquid Baking Chocolate,Sweets,54.0,36.2,0.0,0.0,1.91,472.0,25.29,0.0,18.1,0.0,0.019,4.15,265.0,1.65,2.1,0.154,340.0,1166.0,12.1,0.279,0.0079,12.0,0.0,0.05,47.7,0.001,0.0,0.072,0.0,0.0,0.0,0.0,0.9,3.68,Side Dish,Generic,True,"Baking chocolate, unsweetened, liquid",Generic
167568,Unsweetened Baking Chocolate,Sweets,101.0,28.42,2.0,45.7,3.233,642.0,32.277,0.0,16.6,0.0,0.028,17.4,327.0,4.167,1.355,0.168,400.0,830.0,14.32,0.1,0.0081,24.0,0.91,0.147,52.31,0.0,0.0,0.027,0.0,0.0,0.4,0.0097,1.34,9.63,Side Dish,Generic,True,"Baking chocolate, unsweetened, squares",Generic
167571,White Chocolate Candies,Sweets,199.0,59.24,21.0,29.5,0.06,539.0,19.412,0.0,0.2,0.0,0.007,0.24,12.0,0.008,0.745,0.608,176.0,286.0,5.87,0.282,0.0045,90.0,59.0,0.063,32.09,0.009,0.00056,0.056,0.5,0.0,0.96,0.0091,1.3,0.74,Snack,Generic,True,"Candies, white chocolate",Generic
167577,Orange Sherbet,Sweets,54.0,30.4,1.0,7.7,0.028,144.0,1.16,0.0,1.3,0.0,0.004,0.14,8.0,0.011,0.063,0.224,40.0,96.0,1.1,0.097,0.0015,46.0,24.32,0.027,2.0,0.012,0.00013,0.023,2.3,0.0,0.01,0.0,66.1,0.48,Snack,Generic,True,"Sherbet, orange",Generic
167582,Baby Ruth Bar,Sweets,47.0,64.8,0.0,34.9,0.225,475.0,12.1,0.05,2.0,0.0,0.012,0.63,43.0,0.351,1.251,0.333,94.0,249.0,5.4,0.121,0.0025,230.0,54.0,0.058,21.6,0.0,6e-05,0.042,0.0,0.0,0.93,0.0023,6.99,0.72,Snack,Generic,True,"Candies, NESTLE, BABY RUTH Bar",Generic
167587,Milk Chocolate Candies,Sweets,189.0,59.4,23.0,46.1,0.491,535.0,18.509,0.0,3.4,0.005,0.011,2.35,63.0,0.471,0.386,0.472,208.0,372.0,7.65,0.298,0.0045,79.0,51.5,0.112,29.66,0.059,0.00075,0.036,0.0,0.0,0.51,0.0057,1.5,2.3,Snack,Generic,True,"Candies, milk chocolate",Generic
167591,Gluten-Free Multi-Grain Crisps,Baked Products,246.0,67.18,0.0,0.0,0.508,456.0,2.069,0.018,7.5,0.0,0.0,2.68,149.0,2.42,4.57,0.84,354.0,339.0,10.91,0.15,0.0163,370.0,0.8,0.0,15.92,0.0,0.0,0.37,0.0,0.0,0.0,0.0,3.29,2.5,Snack,Generic,True,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",Generic
167592,Gluten Free Chocolate Vanilla Cookies,Baked Products,19.0,76.03,0.0,0.0,0.261,474.0,7.905,0.099,2.5,0.0,0.0,2.81,40.0,0.515,0.39,0.15,70.0,157.0,2.19,0.076,0.0,275.0,49.0,0.05,17.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.66,Snack,Generic,True,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",Generic
167595,Parmesan Goldfish Crackers,Baked Products,101.0,64.7,0.0,0.0,0.139,459.0,2.614,0.084,3.5,0.0,0.0,4.45,24.0,0.559,5.887,0.58,204.0,168.0,11.16,0.463,0.0,1187.0,0.83,0.84,17.29,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.33,1.32,Snack,Generic,True,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",Generic
167603,Rehydrated Seaweed,Vegetables and Vegetable Products,36.0,5.62,0.0,0.0,0.06,31.0,0.05,0.0,4.5,0.0,0.023,8.07,84.0,0.71,0.46,0.0,32.0,358.0,1.86,0.19,0.0,526.0,0.0,0.06,0.17,0.049,0.00027,0.03,3.5,0.0004,0.67,0.0,89.55,0.31,Side Dish,Generic,True,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",Asian
167605,Hash Brown Potatoes,Vegetables and Vegetable Products,10.0,33.99,0.0,0.0,0.107,242.0,0.805,0.032,3.6,0.0,0.0,0.74,32.0,0.225,3.193,0.735,122.0,704.0,3.24,0.05,0.0,77.0,1.16,0.027,10.3,0.0,0.0,0.363,2.7,0.0,1.68,0.0196,50.57,0.63,Side Dish,Generic,True,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",Generic
167606,Sweet Potato Fries,Vegetables and Vegetable Products,52.0,35.58,0.0,26.0,0.177,182.0,1.157,0.042,5.7,0.0,0.032,0.77,26.0,0.481,0.697,0.46,59.0,409.0,2.16,0.092,0.0004,146.0,12.9,0.092,8.92,0.434,0.0,0.177,7.5,0.0,1.49,0.0046,51.97,0.38,Side Dish,Generic,True,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",Generic
167657,Ground Beef Soft Taco,Restaurant Foods,123.0,19.28,30.0,0.0,0.13,229.0,4.848,0.815,1.8,0.0,0.0,1.94,30.0,0.377,2.785,0.46,188.0,274.0,13.19,0.22,0.023,646.0,1.84,0.16,11.05,0.004,0.00115,0.125,0.0,0.0,0.44,0.0,53.83,1.97,Main Course,Generic,False,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",Western
167658,Ground Beef Soft Taco,Restaurant Foods,116.0,17.92,34.0,0.0,0.099,219.0,4.486,0.616,1.5,0.0,0.0,1.85,27.0,0.269,2.63,0.465,172.0,244.0,12.56,0.248,0.0193,509.0,2.39,0.162,10.81,0.049,0.00122,0.136,0.0,0.0,0.82,0.0,56.5,2.15,Main Course,Generic,False,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",Western
167659,Latino Chicken and Rice,Restaurant Foods,18.0,20.03,36.0,0.0,0.076,174.0,1.101,0.06,1.2,0.0,0.0,0.95,18.0,0.304,5.558,0.962,122.0,184.0,12.02,0.056,0.0145,518.0,0.55,0.104,5.06,0.0,0.00016,0.176,0.0,0.0,0.5,0.004,61.12,0.78,Main Course,Generic,True,"Restaurant, Latino, chicken and rice, entree, prepared",Western
167660,Beef Empanadas,Restaurant Foods,20.0,31.19,26.0,30.3,0.097,335.0,5.156,0.826,2.0,0.0,0.069,2.7,21.0,0.267,4.663,0.49,103.0,190.0,11.31,0.19,0.0248,440.0,1.84,0.277,18.37,0.018,0.00076,0.148,0.7,0.0002,0.73,0.0060999999999999,37.5,1.86,Main Course,Generic,False,"Restaurant, Latino, empanadas, beef, prepared",Western
167661,Bean Pupusas,Restaurant Foods,51.0,31.49,0.0,39.6,0.141,229.0,2.188,0.057,5.8,0.0,0.0,1.46,54.0,0.344,0.867,0.303,144.0,305.0,5.59,0.03,0.007,305.0,1.3,0.077,9.01,0.0,0.0,0.172,0.0,0.0,0.36,0.0074,52.16,0.94,Main Course,Generic,True,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",Western
167662,Cheese Pupusas,Restaurant Foods,325.0,22.39,32.0,16.9,0.037,256.0,6.479,0.359,2.9,0.0,0.003,0.56,36.0,0.125,0.483,0.337,271.0,120.0,11.72,0.127,0.015,400.0,1.2,0.042,13.25,0.089,0.00045,0.149,0.0,0.0012,0.44,0.0017,50.36,1.87,Main Course,Generic,True,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",Western
167665,Spanish Rice,Restaurant Foods,20.0,31.16,0.0,9.1,0.065,185.0,1.005,0.07,1.2,0.0,0.082,1.15,13.0,0.39,2.378,0.415,57.0,116.0,3.28,0.074,0.0074,528.0,1.3,0.183,5.29,0.006,8e-05,0.082,0.1,0.0,0.6,0.013,58.54,0.48,Side Dish,Generic,True,"Restaurant, Mexican, spanish rice",Western
167666,Refried Beans,Restaurant Foods,57.0,16.79,5.0,55.7,0.168,156.0,1.84,0.087,8.0,0.0,0.029,1.62,44.0,0.367,0.488,0.29,128.0,402.0,6.91,0.111,0.0084,376.0,0.78,0.135,6.77,0.011,8e-05,0.098,0.0,0.0,0.45,0.0133,67.57,0.88,Main Course,Generic,True,"Restaurant, Mexican, refried beans",Western
167667,Assorted Chinese Egg Rolls,Restaurant Foods,40.0,27.29,16.0,17.9,0.148,250.0,2.116,0.103,2.6,0.0,0.0,1.41,18.0,0.245,2.725,0.38,85.0,165.0,8.28,0.077,0.0,468.0,0.0,0.165,11.94,0.0,0.00044,0.167,0.0,0.0,0.0,0.0589,50.6,0.62,Snack,Generic,True,"Restaurant, Chinese, egg rolls, assorted",Asian
167668,Vegetable Fried Rice,Restaurant Foods,12.0,32.79,18.0,5.5,0.095,174.0,0.54,0.011,1.1,0.0,0.006,0.66,10.0,0.433,0.637,0.0,51.0,76.0,4.05,0.026,0.0083,387.0,0.56,0.015,2.96,0.022,0.0,0.032,3.8,0.0,0.13,0.0028,59.09,0.72,Main Course,Generic,True,"Restaurant, Chinese, fried rice, without meat",Asian
167669,Steak Fries,Restaurant Foods,19.0,30.87,0.0,0.0,0.123,255.0,2.369,0.105,3.5,0.0,0.0,0.69,32.0,0.182,2.417,0.625,117.0,551.0,3.26,0.056,0.0,43.0,0.86,0.117,13.18,0.0,0.0,0.236,0.9,0.0,1.34,0.0321,51.32,0.42,Snack,Generic,True,"CRACKER BARREL, steak fries",Generic
167671,Macaroni and Cheese,Restaurant Foods,146.0,15.58,16.0,0.0,0.06,192.0,4.197,0.227,0.7,0.0,0.0,0.55,17.0,0.127,0.677,0.45,202.0,125.0,6.46,0.243,0.0162,374.0,2.83,0.093,11.51,0.067,0.00015,0.054,0.0,0.0,0.75,0.0099,64.8,0.83,Main Course,Generic,True,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",Western
167672,French Fries,Restaurant Foods,14.0,35.2,0.0,0.0,0.111,282.0,2.534,0.128,3.5,0.0,0.0,0.72,27.0,0.179,2.717,0.61,115.0,492.0,3.41,0.048,0.0004,44.0,0.85,0.12,14.13,0.0,0.0,0.22,1.6,0.0,0.98,0.0288,46.05,0.46,Side Dish,Generic,True,"DENNY'S, french fries",Generic
167673,Top Sirloin Steak,Restaurant Foods,6.0,0.14,82.0,0.0,0.118,182.0,2.595,0.276,0.0,0.0,0.0,3.27,24.0,0.017,5.31,0.74,264.0,341.0,28.9,0.22,0.0,349.0,0.0,0.05,7.34,0.0,0.0027,0.613,0.0,0.0,0.0,0.001,61.82,5.26,Main Course,Generic,True,"DENNY'S, top sirloin steak",Western
167674,Lemon Chicken,Restaurant Foods,40.0,20.61,32.0,28.6,0.04,252.0,2.033,0.068,1.0,0.0,0.009,1.22,16.0,0.089,3.776,0.52,136.0,161.0,11.87,0.07,0.013,252.0,8.18,0.053,13.55,0.003,0.00011,0.25,2.3,0.0001,1.28,0.0243999999999999,52.69,0.51,Main Course,Generic,True,"Restaurant, Chinese, lemon chicken",Western
167675,General Tso's Chicken,Restaurant Foods,12.0,23.99,53.0,41.5,0.046,295.0,2.76,0.09,0.9,0.0,0.015,1.16,18.0,0.075,2.853,0.617,127.0,201.0,12.9,0.118,0.0144,435.0,11.6,0.027,16.36,0.011,0.00022,0.202,1.6,0.0002,1.21,0.0382,45.15,1.3,Main Course,Generic,True,"Restaurant, Chinese, general tso's chicken",Asian
167676,Kung Pao Chicken,Restaurant Foods,20.0,6.87,26.0,37.4,0.073,129.0,1.352,0.034,1.5,0.0,0.016,0.76,24.0,0.256,2.757,0.5,94.0,218.0,9.76,0.055,0.0081,402.0,3.03,0.032,6.98,0.065,0.00011,0.243,7.1,0.0,1.02,0.0136,74.78,0.74,Main Course,Generic,True,"Restaurant, Chinese, kung pao chicken",Asian
167677,Vegetable Lo Mein,Restaurant Foods,21.0,20.16,0.0,8.9,0.064,121.0,0.464,0.008,1.3,0.0,0.028,1.07,14.0,0.24,0.81,0.27,45.0,105.0,4.77,0.124,0.0117,430.0,2.63,0.047,2.35,0.009,0.0,0.068,1.7,0.0001,0.3,0.0127,71.33,0.36,Main Course,Generic,True,"Restaurant, Chinese, vegetable lo mein, without meat",Asian
167678,Chinese Chicken and Vegetables,Restaurant Foods,20.0,5.38,21.0,41.8,0.044,95.0,0.77,0.014,0.9,0.0,0.04,0.56,15.0,0.126,1.69,0.44,73.0,185.0,8.18,0.12,0.0081,413.0,2.93,0.03,4.56,0.056,7.000000000000001e-05,0.232,8.1,0.0,0.77,0.0547,80.24,0.43,Main Course,Generic,True,"Restaurant, Chinese, chicken and vegetables",Asian
167679,Orange Chicken,Restaurant Foods,14.0,22.46,61.0,66.1,0.042,262.0,2.422,0.053,0.8,0.0,0.01,0.94,20.0,0.087,3.59,1.0,130.0,209.0,14.46,0.22,0.0171,553.0,13.6,0.043,12.68,0.075,0.0002,0.23,0.9,0.0001,1.07,0.0243999999999999,48.43,1.13,Main Course,Generic,True,"Restaurant, Chinese, orange chicken",Asian
167680,Spaghetti with Meat Sauce,Restaurant Foods,17.0,16.4,9.0,15.6,0.097,121.0,1.062,0.066,1.6,0.0,0.0,0.97,17.0,0.212,1.643,0.247,59.0,172.0,5.79,0.147,0.0131,230.0,1.82,0.09,3.59,0.012,0.00017,0.109,0.7,0.0,0.63,0.0042,73.16,0.69,Main Course,Generic,True,"Restaurant, Italian, spaghetti with meat sauce",Western
