food_group,food_name,old_label,new_label,confidence,sample_type
"Meals, Entrees, and Side Dishes","Rice and vermicelli mix, beef flavor, unprepared",Main Course,Main Course,medium,UNCHANGED
Nut and Seed Products,"Nuts, pilinuts, dried",Side Dish,Snack,medium,CHANGED
Nut and Seed Products,"Nuts, chestnuts, european, boiled and steamed",Side Dish,Snack,medium,CHANGED
Nut and Seed Products,"Nuts, mixed nuts, oil roasted, without peanuts, with salt added",Snack,Snack,medium,UNCHANGED
Nut and Seed Products,"Seeds, sesame butter, paste",Snack,Snack,medium,UNCHANGED
Poultry Products,"Chicken, roasting, giblets, raw",Main Course,Main Course,high,UNCHANGED
Poultry Products,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",Main Course,Main Course,high,UNCHANGED
Restaurant Foods,"Restaurant, family style, coleslaw",Snack,Main Course,medium,CHANGED
Restaurant Foods,"APPLEBEE'S, crunchy onion rings",Snack,Main Course,medium,CHANGED
Restaurant Foods,"DENNY'S, macaroni & cheese, from kid's menu",Main Course,Main Course,medium,UNCHANGED
Restaurant Foods,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",Main Course,Main Course,medium,UNCHANGED
Sausages and Luncheon Meats,Roast beef spread,Main Course,Main Course,high,UNCHANGED
Sausages and Luncheon Meats,Chicken spread,Main Course,Main Course,high,UNCHANGED
Snacks,"Snacks, beef sticks, smoked",Main Course,Snack,low,CHANGED
Snacks,"Pretzels, soft",Main Course,Snack,low,CHANGED
Snacks,"Snacks, rice cakes, brown rice, corn",Snack,Snack,low,UNCHANGED
Snacks,"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating",Snack,Snack,low,UNCHANGED
"Soups, Sauces, and Gravies","Gravy, brown, dry",Snack,Side Dish,high,CHANGED
"Soups, Sauces, and Gravies","Soup, onion, dry, mix",Snack,Main Course,high,CHANGED
"Soups, Sauces, and Gravies","Soup, cream of mushroom, canned, prepared with equal volume water",Main Course,Main Course,high,UNCHANGED
"Soups, Sauces, and Gravies","Sauce, ready-to-serve, pepper or hot",Side Dish,Side Dish,medium,UNCHANGED
Spices and Herbs,"Spices, bay leaf",Snack,Side Dish,high,CHANGED
Spices and Herbs,"Spices, pumpkin pie spice",Snack,Side Dish,high,CHANGED
Spices and Herbs,"Spices, thyme, dried",Side Dish,Side Dish,high,UNCHANGED
Spices and Herbs,"Spices, cinnamon, ground",Side Dish,Side Dish,high,UNCHANGED
Sweets,"Frozen novelties, ice type, fruit, no sugar added",Drink,Snack,high,CHANGED
Sweets,"Ice creams, strawberry",Main Course,Snack,high,CHANGED
Sweets,"Ice creams, vanilla, light, soft-serve",Snack,Snack,high,UNCHANGED
Sweets,"Candies, confectioner's coating, peanut butter",Snack,Snack,high,UNCHANGED
Vegetables and Vegetable Products,"Tomato and vegetable juice, low sodium",Side Dish,Drink,high,CHANGED
Vegetables and Vegetable Products,"Tomatoes, red, ripe, canned, packed in tomato juice",Side Dish,Drink,high,CHANGED
Vegetables and Vegetable Products,"Squash, summer, scallop, cooked, boiled, drained, without salt",Side Dish,Side Dish,high,UNCHANGED
Vegetables and Vegetable Products,"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, without salt",Side Dish,Side Dish,high,UNCHANGED
